VERB,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,LAW,DATE,TIME,MONEY
"['intercept', 'say', 'hope', 'cook']",['bush'],['arabic'],[],['becklow rd'],"['london', 'paris', 'texas']",[],[],[],[],['march 2003'],[],[]
"['intercept', 'say', 'stay']",[],['arabic'],[],[],"['amsterdam', 'montreal', 'canada', 'chicago']",[],[],[],[],['25 april 2003'],[],[]
"['intercept', 'call', 'originate', 'say', 'let', 'know', 'make']",['cabrito'],[],[],[],"['paris', 'ojinaga mexico']",[],[],[],[],[],[],[]
"['record', 'belong', 'bill', 'give', 'read', 'need', 'send', 'fail', 'have']",['rder3'],[],[],"['aol', 'marrakech', 'windsor ontario canada', 'tecumseh rd']",['morocco'],[],[],[],[],"['15 july', '1 august 2003']",[],[]
"['intercept', 'identify', 'locate', 'speak', 'say', 'meet', 'let', 'know', 'come']",['bugarov'],"['russian', 'arabic']",[],[],"['moscow', 'pakistan', 'casablanca']",[],[],[],[],"['3 september 2003', '22 october']",[],[]
"['intercept', 'name', 'say', 'remember', 'go', 'offer', 'accept']","['omar hanif', 'muslih odeh']",[],[],"['apple st', 'grenfel ave']","['nassau', 'karachi']",[],[],[],[],"['5 september 2003', '1789', 'last march']",[],[]
"['intercept', 'say', 'help', 'sell', 'receive', 'go', 'reply', 'let', 'know']",[],[],[],['panamico ave'],"['karachi', 'pakistan', 'panama city', 'panama']",[],[],[],[],[],[],[]
"['intercept', 'use', 'supply', 'list', 'belong', 'begin', 'say', 'see', 'do', 'receive', 'bring']",['casablanca morocco'],[],[],['the holland orange shipping lines'],"['pakistan', 'peshawar', 'casablanca']",[],[],[],[],"['25 september', 'a few days', 'the 20th']",[],[]
"['intercept', 'originate', 'list', 'receive', 'announce', 'let', 'know', 'go']","['casablanca morocco', 'san martin']",['arabic'],[],"['the holland orange shipping lines', 'santo domingo']","['santo', 'casablanca']",[],[],[],[],['23 october 2003'],[],[]
"['intercept', 'call', 'receive', 'say', 'meet', 'have', 'expect']",[],['french'],['ferry st'],"['windsor ontario canada', 'tecumseh rd']","['paris', 'france']",[],[],[],[],"['15 december 2003', 'the 28th']",[],[]
"['intercept', 'use', 'supply', 'say', 'go', 'tell', 'receive', 's', 'let', 'handle']","['st havana', 'boris bugarov']",['russian'],[],['plasencia'],"['pakistan', 'havana cuba', 'peshawar']",[],[],[],[],['the end of the month'],[],[]
"['intercept', 'use', 'say', 'expect', 'let', 'go', 'hear', 'reply', 'know', 'send', 'cover']","['calamar columbia', 'cabrito hotelin', 'jose', 'carlos']",[],[],['the los palmas hotel'],"['ojinaga mexico', 'calamar']",[],[],[],[],[],[],[]
"['intercept', 'tampico', 'originate', 'begin', 'say', 'hear', 'need', 'find', 'recommend', 'reply', 'give', 'try', 'provide', 'make', 'have', 'sound']","['bogota columbia', 'chetumal']",['arab'],[],['555 la mirada st'],"['tampico mexico', 'bogota', 'tampico']",[],[],[],[],[],[],[]
"['intercept', 'say', 'get', 'obtain', 'want', 'let', 'know', 'wish', 'deliver']",[],['russian'],[],[],"['russia', 'moscow', 'pakistan']",[],[],[],[],['5 september 2004'],[],[]
"['intercept', 'tampico', 'say', 'have', 'understand', 'mean']",[],[],[],['pharsi'],"['tehran iran', 'tampico mexico', 'tehran', 'tampico']",[],[],[],[],['12 september 2004'],[],[]
"['intercept', 'originate', 'list', 'morale', 'say', 'call', 'tell', 'have', 'know', 'give', 'name', 'get', 'hear', 'go', 'guess', 'suppose']","['jose escalante', 'san martin', 'carlos morales', 'carlos', 'arze']","['spanish', 'arab']",[],['santo domingo'],"['havana cuba', 'santo', 'havana', 'desague st', 'columbia']",[],[],[],[],"['28 september 2004', '65', 'november 21st']",[],[]
"['intercept', 'tampico', 'originate', 'say', 'arrive', 'make', 'tell', 'avoid', 'go', 'believe', 'catch', 'send', 'look']","['bogota columbia', 'rinaldo', 'carlos', 'cuidad acuna']",['spanish'],[],['555 la mirada st'],"['tampico mexico', 'bogota', 'tampico', 'piedras']",[],[],[],[],['the tenth of this month'],[],[]
"['intercept', 'use', 'supply', 'say', 'have', 'hear', 'give', 'worry']",['st havana'],['russian'],[],['plasencia'],"['pakistan', 'havana cuba', 'peshawar']",[],[],[],[],['november 21st'],[],[]
"['intercept', 'tampico', 'originate', 'identify', 'name', 'say', 'use', 'happen', 'arrive', 'make', 'work', 'hear']","['riyad', 'jose ramirez']","['saudi', 'spanish']",[],['555 la mirada st'],"['bogota columbia', 'tampico mexico', 'bogota', 'tampico']",[],[],[],[],"['15 november 2004', 'a few weeks ago', 'two days ago']",[],[]
"['intercept', 'use', 'supply', 'list', 'say', 'arrive', 'receive', 'see', 'get', 'require']",[],['arabic'],[],[],"['pakistan', 'havana cuba', 'peshawar', 'nassau', 'bahamas']",[],[],[],[],['21 november 2004'],[],[]
"['intercept', 'originate', 'say', 'talk', 'tell', 'make', 'get', 'receive', 'worry', 'know', 'suppose', 'do']",['cuidad acuna mexico'],[],['112 ave zaragoza'],[],"['bogota columbia', 'bogota', 'ciudad']",[],[],[],[],['28 november 2004'],[],[]
"['intercept', 'originate', 'receive', 'say', 'think', 'come', 'see', 'go', 'do', 'sell', 'suppose', 'tell', 'wonder', 'use', 'meet', 'buy']","['pyotr', 'boris']","['cuban', 'russian', 'arab', 'american', 'israelis']",[],[],"['havana cuba', 'moscow', 'russia', 'havana', 'casablanca', 'iraq']",['the middle east'],[],[],[],"['28 november 2004', 'january']",[],[]
"['concern', 'issue', 'name', 'see', 'report', 'leave', 'travel', 'arrive', 'say', 'attend', 'list', 'belong', 'operate', 'hear', 'use', 'rent', 'return', 'discover', 'abandon']","['zinedine alias', 'abu hafs', 'patrick oalley oalley', 'mehdi rafiki']","['moroccan', 'zinedine', 'french', 'irish']",[],"['cia', 'montreal canada', 'mehdi rafiki', 'walden ave']","['paris', 'montreal', 'buffalo ny']",[],[],[],[],"['2 april 2003', '17 april 2003the', '1 april 2003', '6 april 2003']",[],[]
"['arrest', 'follow', 'find', 'give', 'contain']","['riyad yasser', 'omar mahmoud othman']",[],['the m4 motorway'],"['the baker st mosque', 'ave camden']","['uk', 'london yasser', 'london', 'bedfont london', 'canada', 'nassau', 'bahamas', 'st', 'miami beach', 'nj', 'apple st']","['circle east', '11th street']",[],[],[],"['1 may 2003', 'the past six years']",[],[]
"['regard', 'visit', 'say', 'hear', 'name', 'ask', 'know', 'reply', 'establish', 'appear', 'take', 'indicate', 'hold', 'receive']","['abu somad', 'omar evertts', 'somad']",['islamic'],[],"['cia', 'bafaba', 'flaxton st culver city', 'riduan sungkar', 'the calnational bank', 'bmi']","['culver city', 'newark', 'nj']",['buckthorn st inglewood'],[],[],[],['29 june 2003'],[],[]
"['use', 'rent', 'return', 'find', 'abandon', 'issue', 'give', 'pay']","['abu hafs', 'mehdi rafiki rafiki']",['french'],['ohare airport'],['drexel'],"['illinois', 'chicago', 'houston texas']",[],[],[],[],"['27 september 2003', '2 october 2003', '27 april']",[],[]
"['identify', 'surface', 'find', 'examine', 'match', 'use', 'charge', 'give', 'guarantee', 'name', 'pay', 'write', 'hold', 'reveal', 'close', 'abandon', 'address']","['rifai qasim', 'omar blakely']",['egyptian'],[],"['hezbollah', 'rifai qasim', 'muhammed mustafa bank', 'the first emirate bank', 'dubai uae', 'mustafa']","['charlotte nc', 'charlotte']",[],[],[],[],"['1 october 2003', 'the 2000', '23 october 2003']",[],[]
"['regard', 'say', 'come', 'see', 'respond', 'report', 'land', 'use', 'reveal', 'leave', 'associate', 'know', 'have', 'occupy', 'raid', 'act', 'find', 'confiscate', 'hold', 'refuse', 'list', 'call']","['jamal al quso', 'abdul murad', 'arabic jamal', 'khalid', 'jamal al qusos']",['british'],"['mi 5', 'ohare airport', 'sears tower']","['cia', 'islamic jihad', '2211 cermak rd', 'fbi']","['london', 'chicago', 'murad', 'texas']",[],['quso'],[],[],"['1999', '16 may 2003', 'july 18 1999', '28 september 2003', 'tomorrow']",[],[]
"['report', 'pose', 'travel', 'have', 'ask', 'answer', 'identify', 'know', 'associate', 'name', 'carry', 'appear']","['fr augustin', 'dominique', 'al hawsawi', 'abdul ahmed nasser', 'hawsawi']","['dominican', 'french', 'saudi']",[],"['cdg paris', 'rue cardinet paris']","['toronto', 'afghanistan']",[],[],[],[],['1 november 2003'],[],[]
"['arrest', 'attempt', 'board', 'use', 'want', 'believe', 'enter', 'register', 'show', 'issue', 'name', 'teach', 'exist', 'write', 'm']","['mousa salah of no', 'shadi abu hoshar salah', 'mousa', 'april stevens', 'stevens']",['jordanian'],[],"['hamas fundraising', 'salah', 'windsor canada', 'roanoke va ms', 'roanoke', 'h newark iii m']","['herndon va', 'london', 'virginia', 'detroit']",[],[],[],[],"['1 november 2003', '2002', '10 august 2001']",[],[]
"['live', 'work', 'hold', 'fall', 'attend', 'develop', 'invite', 'say', 'see', 'reveal', 'have', 'include', 'report', 'elaborate']","['khalid shamrani', 'shamrani', 'zioni']","['saudi', 'aryan', 'islamic']",[],"['al qaeda', 'the texeast petroleum co shamrani', 'fbi']","['usa', 'houston', 'texas', 'denton', 'us', 'chicago']",[],[],[],[],"['april 2000', '12 march 2003', '16 june 2003', 'the next year']",[],[]
"['register', 'have', 'issue', 'charge', 'file', 'say', 'suffer', 'strike', 'drive', 'investigate', 'handle', 'state', 'know', 'pay', 'reveal', 'search', 'discover', 'live', 'take', 'contain', 'examine', 'seem', 'involve', 'attract', 'send', 'identify', 'read', 'request', 'belong', 'continue', 'regard', 'ayyash']","['ahmed doha', 'abu ayyash', 'doha', 'ayyash', 'wali shakur']",['saudi'],[],"['the university of missouri', 'doha', 'ayyash dohas insurance company', 'central farmers insurance company', 'dell', 'jihad', 'aol', 'paulson ave', 'hamas', 'al qaeda', 'columbia mo']",['clifton nj'],[],[],[],[],"['july 2001', '10 october 2003', '12 september 2003', '1 november 2003', '231 12th st in columbia', '20 november 2003', '3 november 2003', 'today']",[],[]
"['search', 'have', 'm', 'discover', 'know', 'identify', 'interview', 'follow', 'clear', 'be', 'reveal', 'convict', 'incarcerate', 'hold', 'obtain', 'live', 'attract', 'accord', 'call', 'attend', 'support']","['adnan hijazi hijazi', 'md mzoudi', 'icna']","['moroccan', 'islamic']",[],"['fbi', '91101', 'laurel md with initials m m', 'martha mason', 'baltimore city college', 'taliban']","['detroit', 'newark nj', 'laurel', 'md eight', 'newark', 'baltimore']",['north america'],[],[],[],"['21 january 2002', '1994', '2116 27th st', 'june 20 to july 2 2000']",[],[]
